name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB,provedor,generos,date,tipo,legendado
10 Dias de um Homem Curioso, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oYfKed3vI58cNN86OxDZ1Ryrgft.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525710.mp4,1920,1080,25,165717,2.629408,"Netflix, Netflix basic with Ads","Crime, Drama, Thriller",2024-11-06,Filme,False
A Vingança de Jack,Filmes | Lançamentos 2024,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bcwCsAXYO13F2F4xMPS3mOHuuIB.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525629.mp4,1918,816,25,127183,1.71511,,"História, Terror, Thriller",2023-04-03,Filme,False
Pacto de Redenção,Filmes | Lançamentos 2024,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1jVlr869bV5ulcrJzqNlJs5KTMx.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525625.mp4,1920,960,23,165275,2.32451,"Claro video, Apple TV, Amazon Video, Google Play Movies","Ação, Crime, Thriller",2024-03-15,Filme,False
Pacto de Redenção, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1jVlr869bV5ulcrJzqNlJs5KTMx.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525626.mp4,1920,960,23,165275,2.324509,"Claro video, Apple TV, Amazon Video, Google Play Movies","Ação, Crime, Thriller",2024-03-15,Filme,True
Pai e Filha, Filmes | Lançamentos 2022,https://image.tmdb.org/t/p/w600_and_h900_bestv2/j1qJv4QWw9OGS8uWdaUXA92KV0f.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525520.mp4,1920,800,25,125781,4.541627,,Drama,1949-09-13,Filme,False
Beleza Americana, Filmes | Lançamentos 2022,https://image.tmdb.org/t/p/w600_and_h900_bestv2/iA5GZWM1NmXtESsXxtXxoK8Pjtx.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525632.mp4,1920,804,23,189427,3.958044,"Apple TV, Amazon Video, Google Play Movies, Microsoft Store",Drama,1999-09-15,Filme,False
Scooby-Doo em Hollywood,Filmes | Lançamentos 2024,https://image.tmdb.org/t/p/w600_and_h900_bestv2/t0DDWZVOyRjrpotc2qOvcFsRryp.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525717.mp4,1920,1080,23,71395,1.18835,"Max, Max Amazon Channel","Animação, Comédia, Cinema TV",1979-12-23,Filme,False
Pai e Filha,Filmes | Lançamentos 2024,https://image.tmdb.org/t/p/w600_and_h900_bestv2/j1qJv4QWw9OGS8uWdaUXA92KV0f.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525521.mp4,1920,800,25,125781,4.541463,,Drama,1949-09-13,Filme,True
"Monster High: Monstros, Câmera, Ação!",Filmes | Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hc0FthE5mKEehkQ9ZzaQdFlGZJs.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525635.mp4,1920,1080,23,105911,1.488938,,"Animação, Família, Fantasia",2014-03-25,Filme,False
"Homens, Mulheres e Filhos",Filmes | Lançamentos 2024,https://image.tmdb.org/t/p/w600_and_h900_bestv2/28xrWaYrQ19BPNvUcuySyyXm6kz.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/525714.mp4,1920,1080,23,171843,2.8634,,"Comédia, Drama",2014-10-17,Filme,False
